origin_topic_q1,origin_topic_q0,origin_topic_q2,words_q1,words_q0,words_q2
20,15,29,"guns, veterans, pope, mental, background, assault, memorial, tragedy, giffords","supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray"
24,0,21,"obamacare, neil, irs, healthcare, lou, gerri, affordable, wage, stuart","abc, ship, haiti, passengers, earthquake, pilot, lunesta, aircraft, airlines","immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism"
17,27,7,"baseball, nbc, league, giants, score, inning, hits, yards, animals","oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung"
18,29,0,"jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray","abc, ship, haiti, passengers, earthquake, pilot, lunesta, aircraft, airlines"
2,13,11,"jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution","voting, palin, sarah, liberal, voter, abortion, msnbc, mccain, hillary","gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection"
2,23,14,"jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato"
10,14,17,"hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato","baseball, nbc, league, giants, score, inning, hits, yards, animals"
25,11,6,"gingrich, rick, newt, iowa, santorum, perry, cain, hampshire, ron","gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection","guest, caller, teachers, climate, chinese, poverty, opportunities, century, african"
22,15,15,"marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs","supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions","supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions"
1,18,1,"baltimore, beltway, metro, cloudy, avenue, storms, temperature, skies, loop","jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa","baltimore, beltway, metro, cloudy, avenue, storms, temperature, skies, loop"
20,27,11,"guns, veterans, pope, mental, background, assault, memorial, tragedy, giffords","oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer","gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection"
21,4,2,"immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism","tavis, kennedy, film, lincoln, character, art, audience, movies, song","jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution"
20,23,23,"guns, veterans, pope, mental, background, assault, memorial, tragedy, giffords","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin"
0,3,14,"abc, ship, haiti, passengers, earthquake, pilot, lunesta, aircraft, airlines","gonna, que, kitchen, color, las, hoveround, para, chair, una","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato"
15,22,27,"supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions","marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs","oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer"
2,10,13,"jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution","hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","voting, palin, sarah, liberal, voter, abortion, msnbc, mccain, hillary"
17,1,10,"baseball, nbc, league, giants, score, inning, hits, yards, animals","baltimore, beltway, metro, cloudy, avenue, storms, temperature, skies, loop","hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical"
4,21,7,"tavis, kennedy, film, lincoln, character, art, audience, movies, song","immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung"
